,index,RBU_SN,FAIL_Category
161,2614,EA2A132860,SMA_Repair
162,2617,EA2A132853,SMA_Repair
163,2620,EA2A132848,SMA_Repair
164,2623,EA2A132655,SMA_Repair
165,2626,EA2A131004,SMA_Repair
166,2651,EA2A132704,SMA_Repair
167,2654,EA2A132698,SMA_Repair
168,2659,EA2A132606,SMA_Repair
169,2666,EA2A132872,SMA_Repair
170,2675,EA2A132668,SMA_Repair
171,2684,EA2A132679,SMA_Repair
172,2687,EA2A132892,SMA_Repair
173,2690,EA2A132688,SMA_Repair
174,2693,EA2A132850,SMA_Repair
175,2696,EA2A132675,SMA_Repair
176,2703,EA2A132554,SMA_Repair
177,2704,EA2A132558,SMA_Repair
178,2707,EA2A132551,SMA_Repair
179,2708,EA2A132721,SMA_Repair
180,2710,EA2A132547,SMA_Repair
181,2713,EA2A132635,SMA_Repair
182,2716,EA2A132546,SMA_Repair
183,2719,EA2A132735,SMA_Repair
184,2745,EA2A127000,SMA_Repair
185,2779,EA2A133319,SMA_Repair
186,2782,EA2A133170,SMA_Repair
187,2785,EA2A133165,SMA_Repair
188,2788,EA2A133210,SMA_Repair
189,2791,EA2A133166,SMA_Repair
190,2794,EA2A133070,SMA_Repair
191,2797,EA2A133169,SMA_Repair
192,2800,EA2A133168,SMA_Repair
193,2803,EA2A133172,SMA_Repair
194,2807,EA2A132992,SMA_Repair
195,2810,EA2A132906,SMA_Repair
196,2813,EA2A133206,SMA_Repair
197,2816,EA2A133056,SMA_Repair
198,2819,EA2A133048,SMA_Repair
199,2822,EA2A132936,SMA_Repair
200,2825,EA2A132962,SMA_Repair
201,2828,EA2A132971,SMA_Repair
202,2831,EA2A132933,SMA_Repair
203,2834,EA2A133034,SMA_Repair
204,2837,EA2A133449,SMA_Repair
205,2840,EA2A132943,SMA_Repair
206,2843,EA2A133177,SMA_Repair
207,2846,EA2A133187,SMA_Repair
208,2849,EA2A133171,SMA_Repair
209,2852,EA2A133036,SMA_Repair
210,2855,EA2A133027,SMA_Repair
211,2858,EA2A133091,SMA_Repair
212,2867,EA2A133007,SMA_Repair
213,2905,EA2A133010,SMA_Repair
